Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
13;SZAJNA;CR 1,74;NIE;1958;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;500,00
14;SZAJNA;CR 1,6;NIE;1955;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;199,00
15;UNIVERCE OPTICAL;IN.1,49 HC;NIE;1586;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
16;SZAJNA;CR 1,5 ASF;NIE;1952;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;110,00
17;SZAJNA;CR UTW;NIE;1946;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
18;UNIVERCE OPTICAL;IN.1,49 HC/55 HC;NIE;1588;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;39,00
19;RAKO;CR 1,6;NIE;1885;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;80,00
20;SZAJNA;NIE DOTYCZY;NIE;1454;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;290,00
21;RAKO;CR;NIE;1879;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
22;JZO;NIE DOTYCZY;NIE;1418;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
23;RAKO;CR 1,61;NIE;1887;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;120,00
24;JZO;PRAKTIS 150;NIE;2226;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
25;JZO;IZOPLAST 150;NIE;1582;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
26;TARGET;CR SR;NIE;1906;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;235,00
27;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1590;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;49,00
28;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1601;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;229,00
29;SZAJNA;PROFIT IN 1,56;NIE;1596;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;49,00
30;JZO;IZOKRON 15;NIE;1583;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
31;RAKO;CR 1,74;NIE;1890;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;250,00
32;SZAJNA;CR/60;NIE;1947;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;35,00
33;SZAJNA;NIE DOTYCZY;NIE;1451;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
34;SZAJNA;CR 1,67 A;NIE;1957;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;260,00
35;UNIVERCE OPTICAL;IN.1,56 SC;NIE;1591;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
36;SZAJNA;OPTIPLAST IN 1,5;NIE;1597;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;79,00
37;TARGET;CR;NIE;1903;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
38;SZAJNA;CR 1,56;NIE;1953;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;177,00
39;JZO;NEOLENS IN.1,5;NIE;2261;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
40;SZAJNA;CR 1,67;NIE;1956;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;238,00
41;SZAJNA;CR 1,56;NIE;2265;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;117,00
42;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1602;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;279,00
43;SZAJNA;OPTIPLAST 1,6;NIE;1600;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;199,00
44;JZO;NIE DOTYCZY;NIE;1440;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
45;SZAJNA;OPTIPLAST IN 1,56;NIE;1598;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;129,00
46;RAKO;CR 1,67 A;NIE;1888;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;150,00
47;RAKO;CR 1,56 SPH;NIE;2263;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;69,00
48;RAKO;CR 1,6 A;NIE;1886;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;90,00
49;JZO;NEOLENS IN.1,6 ASF;NIE;2262;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;149,00
50;SZAJNA;PRIMGLAS IN. 1,52;NIE;1595;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
51;SZAJNA;CR 1,56;NIE;1950;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
52;NEOLENS;IN.1,6 ASF;NIE;1593;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;149,00
53;SZAJNA;CR/70;NIE;1949;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;49,00
54;UNIVERCE OPTICAL;IN.1,49 HC/60 HC;NIE;1587;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;35,00
55;SZAJNA;NIE DOTYCZY;NIE;1450;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;35,00
56;RAKO;CR/55;NIE;1881;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;49,00
57;TARGET;CR/55;NIE;1905;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
58;SZAJNA;NIE DOTYCZY;NIE;1452;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;98,00
59;TARGET;CR SV;NIE;2264;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;235,00
60;RAKO;CR 1,56;NIE;1882;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
61;SZAJNA;CR 1,5;NIE;1951;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;79,00
62;RAKO;CR 1,7;NIE;1889;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;190,00
63;SZAJNA;CR/55;NIE;1948;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;39,00
64;SZAJNA;PROFIT IN 1,5;NIE;1594;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
65;RAKO;CR/60;NIE;1880;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;39,00
66;JZO;IZOPLAST 150 MIŚ;NIE;1585;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
67;RAKO;CR 1,56 A;NIE;2319;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
68;SZAJNA;OPTIPLAST 1,56;NIE;1672;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;119,00
69;RAKO;CR 1,67;NIE;2095;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;180,00
70;JZO;IZOKRON 16;NIE;2157;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;90,00
71;JZO;IZOKRON IN. 15;NIE;1662;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
72;SZAJNA;CR 1,67;NIE;2143;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;240,00
73;SZAJNA;NIE DOTYCZY;NIE;1486;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;120,00
74;JZO;NEOLENS RX 1,5;NIE;2311;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
75;JZO;IZOKRON IN. 15;NIE;2155;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
76;SZAJNA;OPTIPLAST 1,6;NIE;1673;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;179,00
77;SZAJNA;OPTIGLAS 1,8;NIE;1678;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;240,00
78;RAKO;CR/55;NIE;2317;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
79;RAKO;CR 1,61;NIE;2094;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;140,00
80;SZAJNA;NIE DOTYCZY;NIE;1553;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;199,00
81;JZO;IZOPLAST 150 M;NIE;1663;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
82;JZO;IZOPLAST 160;NIE;1667;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;230,00
83;SZAJNA;CR 1,6;NIE;2140;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;160,00
84;SZAJNA;CR 1,7;NIE;2145;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;350,00
85;JZO;IZOPLAST 150;NIE;1665;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;125,00
86;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1674;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;200,00
87;SZAJNA;CR 1,6 A;NIE;2142;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;220,00
88;SZAJNA;NIE DOTYCZY;NIE;1489;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;520,00
89;JZO;IZOPLAST 150;NIE;2158;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;125,00
90;RAKO;CR 14,67 A;NIE;2096;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;230,00
91;SZAJNA;OPTIPLAST 1,5;NIE;1671;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;95,00
92;RAKO;CR 1,74;NIE;2098;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;350,00
93;SZAJNA;CR 1,56;NIE;2136;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;69,00
94;SZAJNA;NIE DOTYCZY;NIE;1552;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;169,00
95;SZAJNA;CR 1,74;NIE;2146;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;500,00
96;JZO;NEOLENS RX 1,5;NIE;2161;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;85,00
97;RAKO;CR 1,56 SC;NIE;2093;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;120,00
98;SZAJNA;NIE DOTYCZY;NIE;1485;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;98,00
99;SZAJNA;NIE DOTYCZY;NIE;1487;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;290,00
100;SZAJNA;CR 1,67 A;NIE;2144;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;260,00
101;RAKO;CR/55;NIE;2090;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;69,00
102;JZO;NIE DOTYCZY;NIE;1484;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
103;RAKO;CR 1,56;NIE;2091;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;89,00
104;SZAJNA;NIE DOTYCZY;NIE;1488;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;350,00
105;NEOLENS;NEODENS RX 1,5;NIE;1668;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;85,00
106;SZAJNA;CR 1,56;NIE;2314;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
107;JZO;IZOPLAST 156;NIE;1666;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;190,00
108;RAKO;CR 1,56 A;NIE;2092;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;95,00
109;RAKO;CR 1,7;NIE;2097;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;280,00
110;SZAJNA;CR 1,5 A;NIE;2138;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;120,00
111;UNIVERCE OPTICAL;INDEX 1,56 HC;NIE;1670;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;79,00
112;JZO;IZOPLAST 160;NIE;2160;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;230,00
113;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1675;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;280,00
114;RAKO;CR;NIE;2088;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
115;SZAJNA;OPTIGLAS 1,52;NIE;1676;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;69,00
116;RAKO;CR;NIE;2315;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
117;SZAJNA;CR;NIE;2135;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
